video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7147309773367545093,2022-09-25T09:32:20,16,BR,"French Toast, french toast recipes, Toast, Banana French Toast, Making French Toast, Toast Recipes, Food Recipes, food aesthetic, toast bread, Healthy Food Recipe",343400,4704,559,4500000,french toast proteica de banana - só isso mesmo 🤌🤤 #frenchtoast #healthyfrenchtoast #receitasfaceis #receitaproteica #receitasaudável #healthylifestyle #receitafitness #dicasnutri #aesthetic #aesthetics #aestheticvideos #aestheticedits #satisfyingvideo #satisfying #videossatisfatorios #satisfyingedit #satisfatório #nutricionista #foryou #foryoupage #fypシ ,False,,yasminfernandesnutri,Yasmin Fernandes,,,,,,False
7171473789786541318,2022-11-29T11:21:03,19,GB,,327600,3238,1813,2100000,The secret to UNLIMITED motivation. #smma #ecom #money #entrepreneur #matrix #arturoduarte #freedom #financialfreedom #mindset #motivation #dopaminedetox ,False,,itssarturoduarte,Arturo Duarte,,,,,,False
7160076583225642245,2022-10-29T19:14:07,13,MX,,326800,729,185,1600000,batilika y vatubela✨🦇🦇🦇 @Ilika Cruz ,False,,vanneamador,𝓥 𝓪 𝓷 𝓷 𝓮,,,,,,True
7260550802350099738,2023-07-27T13:25:25,14,NL,,325800,14100,229,4800000,Easy Cute Hairstyle 🖤✨ #hairstyletutorial #hairideas #hairinspo #hairtrends #easyhairstyles #hairtok2023 #braidedhair ,False,,ayseacun_,Ayse Acun,,,,,,False
7157459209326529793,2022-10-22T17:57:39,20,GB,,324700,316,815,3200000,throwback to meeting fresh for the first time 🥲💛 #lachlan #fortnite #fresh #mrfreshasian #throwback #ogfortnite ,False,,lachlan,PWR Lachlan,,,,,,True
7164584433650044165,2022-11-10T21:46:51,8,BO,,324400,18500,3989,1300000,q envidia 👄 #fypシ #fyp #XD #XD #fyp ,False,,caca_de_gatos,no,,,,,,False
7159025465984896262,2022-10-26T23:15:22,7,MX,,321900,3141,1733,3000000,Contexto del beso blanco en inst a #tiktoksbuchones ,False,,gashiolasrt,Gashiola,,,,,,False
7144487788019469573,2022-09-17T19:01:38,11,US,,321200,422,12000,2300000,Replying to @xannyxion instagram: treisi.zm  💔 ,False,,treisichkaaa,Трейсі,,,,,,False
7149915855495777542,2022-10-02T10:05:18,15,FR,,304600,296,664,2700000,Les coulisses de nos tiktoks 😂,False,,bboy.rominou,Bboy.rominou,,,,,,False
7336751649064586502,2024-02-17T20:43:33,15,US,"Emily Dobson, emily dobson glow up, emily dobson height, What Happened To Emily And Piper, how tall is emily dobson, emily dobson and gavin, emily dobson and piper, catherinemcdonough1, emily and piper, Emily Dobson Model Walk",293400,3521,818,1800000,old tiktok dances >> #fyp #dance #foryou #trend #2022tiktok #viral,False,,catherinemcdonough1,catherine,,,,,,False
7149284052032441606,2022-09-30T17:13:34,5,MX,,292800,10100,26900,2500000,Pásala por inst a #parati #fy #fypシ #foryoupage #amigos #frases #culiacan #tiktoksbuchones ,False,,gashiola,Gashiola,,,,,,False
7132646911500406062,2022-08-16T21:12:54,13,US,,292500,1747,1429,1800000,L locker room lighting #fyp #ReTokforNature #WeStickTogether,False,,valeriesilaa,val,,,,,,False
7172622749880438059,2022-12-02T13:39:43,15,US,,291200,1095,1511,2900000,#stitch with @iamellebrooke lol,False,,faithordway7,faithordway,,,,,,True
7241242009053285658,2023-06-05T12:37:26,15,GB,,290200,147300,17500,2900000,It’s not hard to do things for your girlfeiend. #boyfriend #girlfriend #couple #couplegoals #happy ,False,,notconor18new,NotConor18New,,,,,,False
7150312972265557253,2022-10-03T11:46:16,17,GB,,289900,2185,1499,2600000,Zlatan. Insane dribbler 🥵#ChampionsLeague ,False,,championsleague,Champions League,,,,,,True
7151061498830376197,2022-10-05T12:10:57,15,DE,,278200,692,741,2300000,@_lena_n13 😂,False,,julesboringlife,Jule,,,,,,True
7131271409430465834,2022-08-13T04:15:22,14,US,,278200,6133,25000,3600000,,False,,wonquall,Quall Undercover,,,,,,False
7172249294479559942,2022-12-01T13:30:25,17,DE,,278100,6384,759,1900000,Study at home :) #fyp #fypシ #fy #study #architecture ,False,,rafiye.s,Rafiye 42,,,,,,False
7141059122308386049,2022-09-08T13:16:36,17,CA,,277000,441,4494,2800000,Replying to @Psychoblade We’ll see later what’s the news #queenelizabeth #queen #uk #fyp ,False,,omaragamyy,Omar Agamy,,,,,,False
7147641629074083078,2022-09-26T07:00:12,18,IT,,275500,3822,0,2200000,@aneladj ❤️ #neiperte ,False,,michellelapolla2,sonosempremichelle,,,,,,False
7156977425149185285,2022-10-21T10:47:46,16,GB,,275300,2851,1335,4000000,the best android app 🫶 #penlyapp #penly #digitalplanning #digitalplanner #androidapps #samsunggalaxy #androidtips #spen #digitalnotes #digitaljournal #samsungtips ,False,,happydownloads,HappyDownloads,,,,,,False
7133258649731878187,2022-08-18T12:46:47,18,US,,274800,722,1463,1600000,bumpy ride but we back #fyp,False,,frannyr,frannyr,,,,,,False
7147657905955753221,2022-09-26T08:03:20,11,ES,,274500,9200,3524,2200000,#safariaitana #fyp #foryoupage #parati #foryou #viral #kawaii #cute ,False,,safariaitana,Safari Aitana,,,,,,False
7183707529229208838,2023-01-01T10:34:12,11,BE,,274600,32800,1840,2600000,Find a cheap plane ticket and let’s go!  #travel #onabudget #destinations #essentials #greece #vacation #tips #placestovisit #islands #bestplaces ,False,,travelmoment_,Elo ❁ | Travel Planner,,,,,,False
7132963199728569643,2022-08-17T17:40:16,7,US,,274400,1068,3068,1600000,Y’all would dance to the Rodney King beating if somebody put acoustic guitar over it but a song with 1.6 BILLION streams is where you draw the line? I hope somebody put a drill beat on the saddest Phoebe Bridger song💯💯💯 #fyp #viral #itsjustasong #calmdown #wecantdancetoasongnow? #greenscreen,False,,ori_an,Orian,,,,,,False
7132919788728290606,2022-08-17T14:51:49,18,US,,273300,2135,2241,2100000,i know you wanna duet it @bronny @bryceheemjames #fyp ,False,,dayumshefine,AJ,,,,,,False
