video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7333240893035662625,2024-02-08T09:40:07,10,DE,"duck snowball maker, lucifer hazbin hotel, Sushi, lucifer ducks, duck sushi, Duck, hazbin hotel duck, snow duck maker, hazbin hotel sushi, duck mold",1400000,76000,11100,35100000,Ducky sushi #diy #snowduckmaker #snowballmaker #foodtook #duck #rice #sushi ,False,,foodie.beats,foodie beats,,,,,,False
7289880405400882462,2023-10-14T14:19:16,37,US,"michael myers, michael myers of decatur, michael myers dancing, michael myers without his mask 1978, michael myers real face, Halloween, Michael Myers Edits, michael myers costume, slim 199x dance, Halloween Costume Ideas",1400000,76600,18600,13300000,Strike a pose like:🧍‍♂️ DC: @Slim 199x #wop #dance #michaelmyersoftiktok #michaelmyers #michaelmyersoftiktok_ #halloween1978 #michaelmyers #halloween #fall #autumn #spookyseason #fallaesthetic #autumnaesthetic #theshape #theboogeyman #boogeyman #horror #horrortok ,False,,michaelmyersoftiktok_,Michael Myers,,,,,,False
7305152066744339742,2023-11-24T17:01:12,36,US,ms shirley,1400000,118000,46800,9900000,,False,,lariyah.jesiree,Ms. Shirley,,,,,,False
7004566317298666757,2021-09-05T17:34:45,9,US,,1300000,4555,10900,14100000,Reply to @theslutandthefalcon  you didn’t specify which part of captain america,False,,tinymakesthings,tiny - keycap maker,,,,,,True
7286943890618256646,2023-10-06T16:24:00,8,CA,,1300000,75700,2074,11900000,a fun one for friends/couples😎 #photoidea #photoinspo #igpics ,False,,nikiivictoria,niki,,,,,,False
7295316528986066182,2023-10-29T05:54:06,36,PH,,1300000,4112,2681,16700000,Nakakasayaw na kitaaaaa 😍🥹 #scarletcariño #bugoycariño  Shirt from: @Uncommon Fit 1.0 🔥,False,,iambugoycarino,Bugoy Cariño,,,,,,True
7278913300618923297,2023-09-15T01:01:27,15,RO,,1300000,402600,17500,9000000,,False,,dacianstelistul13,Dacian stelistul13❤️💙,,,,,,False
7310933693265087749,2023-12-10T06:56:40,20,UA,,1300000,9404,4221,9900000,finally! #txt #soobin #arin ,False,,dablyuw,dablyuw,,,,,,False
7288709130288631045,2023-10-11T10:34:01,36,UA,,1300000,9948,2975,11000000,🤑@Minus Twø ,False,,kate.nita.off,Kate Nita,,,,,,False
7310879610663701793,2023-12-10T03:26:57,16,KR,"lee dong wook polaroid selfie result, cillian murphy taking photo, Leedongwook, cillian murphy, single in seoul, lee dong wook a shop for killers, lee dong wook fan service, polaroid camera, polaroid, Polaroid Instant Camera",1200000,10100,5551,12000000,I just saw the viral tiktok a day before and then saw him do it in front of me which was so funny 😭 #singleinseoul #leedongwook ,False,,nananaba02,Naba,,,,,,False
7272842179092024622,2023-08-29T16:22:22,31,US,,1200000,14000,6698,10400000,Likeee cmonn now 🤣 #fyp ,False,,giovani1250,Gio🏳️‍⚧️,,,,,,False
7282562439877610794,2023-09-24T21:01:48,8,US,"Central Cee Drop It To The Floor, wopwopwop saggy pants, Saggy Pants, Shirt And Pants, drop it to the floor song by pitbull, Funny Fails Video, dude with big shorts and shirt",1200000,45200,4816,8700000,That was a fail 😂 #fyp #foryou #foryoupage ,False,,ekrameena,Ekram,,,,,,False
7272842559431609646,2023-08-29T16:23:56,36,US,,1200000,92700,12500,13400000,Replying to @ashleymartinez9877  ngl this is fun to dance tag them 🔥✨@Slim 199x  #fyp #dance #disability #treachercollinssyndrome #nohate #love ,False,,alr.bxmbi,Bambi🌻🤎,,,,,,False
7276504735945887018,2023-09-08T13:14:49,36,US,,1200000,9394,2616,6200000,The pose part was ALWAYS MY part 😭 #hellosoller #fyp #viral #trend #dancer #cookout #2000s ,False,,hello.soller,Sõller,,,,,,False
7294903178548546822,2023-10-28T03:10:06,36,PH,"zeinab water dance, zeinab harake water dance, gasolina dance tiktok, water, wap wap wap wap dance, slim 199x dance, dasuri choi water dance tutorial, dasurichoi__, water dance zeinab trend, tacata dance",1200000,23600,3800,21700000,Full version (Ctto),False,,dasurichoi__,Dasuri Choi,,,,,,True
7327267781492362528,2024-01-23T07:21:21,9,DE,"duck snowball maker, Duck, rice duck, duck mold, snow duck maker, butter duck, duck rice scoop, Whipped Coffee, Making Coffee, Coffee Making Videos",1100000,55400,8972,18500000,Coffee with frozen whipped cream duck #diy #whippedcoffee #foodtok #foodtrends #snowduckmaker ,False,,foodie.beats,foodie beats,,,,,,False
7276116082245651758,2023-09-07T12:06:49,36,US,"construction worker costume, construction football theme, Volley Ball, fnl, construction, Volleyball Clips, volleyball tiktok, Construction Workers, volleyball moments, Volleyball Transition",1100000,13000,3000,8600000,👷‍♀️🔩🔨🚧!!!! #fyp #fnl #foryoupage #construction #viraldance #volleyball #tiktokblowthisup ,False,,taci.111,taceball🫧,,,,,,False
7308326963129617696,2023-12-03T06:21:17,22,FR,,1100000,15700,4579,19100000,#wopchallenge #jennie #jenniekim #blackpink #fy #fyp ,False,,jnkclip,jnkclip,,,,,,False
7288358099780422917,2023-10-10T11:51:51,36,UA,,1100000,6295,0,10700000,😮‍💨,False,,kate.nita.off,Kate Nita,,,,,,False
7293541560145202465,2023-10-24T11:06:20,47,PL,,1000000,5425,3581,73000000,Magic HALLOWEEN umbrela tutorial 🎃☂️✨🧡,False,,twinsstylee,Twins Style,,,,,,True
7292430255011269894,2023-10-21T11:13:53,30,PH,,1000000,21800,2344,8400000,i literally love wearing #daster or is it #duster idk basta i love it,False,,gabbisawr,gabbi,,,,,,False
7279893749444955398,2023-09-17T16:25:51,35,US,,1000000,16400,1755,7400000,pre football game @oluchi 💙💙💙💙,False,,emmakoabel,emma,,,,,,True
7301177561445305606,2023-11-13T23:57:54,10,PH,,1000000,4905,2863,8500000,,False,,viy.cortez,Viy Cortez,,,,,,True
7314037773013388552,2023-12-18T15:42:09,19,SA,,993500,27100,11300,12100000,لذيذ ويعرف يرقص🫦🧡🧡🧡🧡 #الكوكيز_الرقاص #رقاص💃 #اكسبلورر  #cookies #classiccookies #fypシ゚viral ,False,,ch.ewy,chewy,,,,,,False
7283002516214680862,2023-09-26T01:29:33,15,US,,978400,7856,3347,9400000,he be like: ,False,,isabellabuscemi,Isabella Buscemi,,,,,,True
7287264229827054854,2023-10-07T13:07:04,36,UA,"minus two cargos, minus two, cargo pants for women, kate nita, minus two cargo pants, minus two cargos shein, cargo pants, minus two shein, Cargos, minus 2 pants",959500,7765,1692,8700000,@aymspam ,False,,kate.nita.off,Kate Nita,,,,,,False
7297821497710628102,2023-11-04T23:54:41,13,PH,,949600,8491,3887,11800000,,False,,viy.cortez,Viy Cortez,,,,,,True
7278548367695760686,2023-09-14T01:25:11,32,US,,947400,16100,6538,8800000,Mom & Son Fun  #foryou #foryoupage #fyp #momandson,False,,russellhustleinc,Brittany & Isaiah (Mom & Son),,,,,,True
7345789620921175298,2024-03-13T06:15:33,17,AU,"cookie dance trend, cookie dance, Cookies, Cookies Recipes, chocolate chips cookies, How To Make Cookies, dancing cookies, Homemade Cookies, Cookie Dough, cookie decorating",947700,196700,6241,12900000,Had to jump on the cookie dance trend!! 😂👌🏻 #fyp #viral #goviral #foryou #foryoupage #cookie #cookies #sweets #baking #fun #funny #dance ,False,,zahraamehanna,Zahraa,,,,,,False
7283028378276334891,2023-09-26T03:09:55,15,AU,,932800,28900,2743,5300000,,False,,hollyymuellerr,Hollyy Müeller,,,,,,False
7306781904823536903,2023-11-29T02:25:40,15,AU,,923200,2169,2133,11000000,POV: Ask your bff pose like Zara model..tag your friends to try 👭😝#fyp #foryou #posechallenge #poseideas #funny #zaramodel #bff #bffsforever #howtopose ,False,,kristinali.y.d,Kristina Li🪐,,,,,,False
7295376460200611077,2023-10-29T09:46:40,37,PH,,921600,4795,1087,12400000,Pinilit ko naman isayaw! HAHAHAH dc: @Slim 199x ,False,,vien.iligan,Vien.Iligan,,,,,,False
7298188523356638469,2023-11-05T22:38:56,36,PH,,749600,4535,2398,12000000,"Kung nasan man yung result nito, pa-tag naman ako pls haha #fyp ",False,,krtvllavcncioo,Kurt Villavicencio,,,,,,False
7332807754727361813,2024-02-07T05:39:20,15,KG,"hello kitty, Cakes, Cake Decorator, cake design, Cakes Making Videos, Cake Decorating Videos, Cat Cake, Create A Cake, Cake Baking And Decorating, Decorating Cakes",687100,10100,5588,19800000,#r_e_k_o_m_e_n_д_а_ц_и_и #cakeartist #cakedesigner ,False,,cakeartist_,Taylor Wift🔝,,,,,,False
7315244619925556485,2023-12-21T21:45:16,15,MX,,683800,4859,3270,16100000,Ya no me queda mi ropa jajaja #comediajlynsky #jlynsky23🌻 ,False,,jlynsky23,Jlynsky23,,,,,,True
7326517743115570465,2024-01-21T06:50:48,9,DE,,680300,112900,9290,11200000,Soup idea with coconut milk - rice idea with a snowball maker - rice duck  #diy #foodtok #foodtrends ,False,,foodie.beats,foodie beats,,,,,,False
7308470175639129376,2023-12-03T15:37:01,11,GB,,678800,3682,1681,6900000,Go daddy 🩵⚽️ @Phil Foden ,False,,official.ronniefoden,Ronnie Foden,,,,,,False
7294087559901138209,2023-10-25T22:25:16,10,GB,"Equestrian, horse, horseriding, equestrian girl, horses videos, Horses Of TikTok, equestrian falls, Horse Training, Horse Animal, horse back riding",674300,9489,4364,42800000,THE BRIDLEE NOO #trend #foryoupage #equestrian #fyp #horselife #horsetraining #horses #equine #horsefails #horsefalls #horse #horsegirl #horsegirl #horseriding #horsesoftiktok #horselover #viral #horsetok #WOP #horsesontiktok ,False,,funnyhorsevds,funnyhorsevds,,,,,,False
7289626824814955807,2023-10-13T21:55:18,39,US,"ghost face, Scream, ghost face costume, female ghostface, ghostface cosplay, ghostface edit, slim 199x dance, Halloween, ghostface dancing, Scream Ghostface Costume",671500,14800,3466,4900000,Wait til the end💀 DC: @Slim 199x #dance #ghostface #scream #scream5 #scream6 #screammovie #screammovies #woodsboro #ghostfacecosplay #spookyseason #halloween ,False,,screamsupreme_,screamsupreme,,,,,,False
7279094539057450273,2023-09-15T12:44:46,16,DK,,665200,9676,2249,9400000,POV: He can’t find his fave t-shirt ✌🏽🤪 - Shapewear: @SHAPERX LINKED In Bio - T-shirt & Boots: @JUNKYARD  - Cargos: @MissyEmpire  #grwm #streetwear #blackgirlgrwm #fashiontiktok ,False,,zawadi.kristina,Zawadi,,,,,,False
7274094864780774702,2023-09-02T01:23:28,36,US,,661800,11300,2056,3900000,(dc: @Slim 199x) WOP WOP WOP WOP,False,,dogeatah,prettyboi,,,,,,False
7304965788895808773,2023-11-24T04:58:12,36,ID,,661800,10000,4326,10900000,,False,,cuteviyanti7,cuteviyanti,,,,,,False
7316513989163257106,2023-12-25T07:51:07,15,KR,,660200,4189,3040,4500000,메리 크리스마스 🌳 🌲 🎄 🤍  #THEBOYZ #YOUNGHOON #HYUNJAE,False,,istent_theboyz,THE BOYZ,,,,,,True
